Codigo,Descripcion,Unidad,Valor Unitario
004857,"""BOM.SUM. 15 HP LAPIC 6""",UND,11008400.0
004874,"""BOM.SUM. 20 HP LAPIC 6""",UND,13374800.0
005167,"""BOM.SUM. 25 HP LAPIC 6""",UND,15947100.0
004864,"""BOM.SUM. 30 HP LAPIC. 6""",UND,23187500.0
004866,"""BOM.SUM. 40 HP LAPIC. 6""",UND,25725000.0
004879,"""BOM.SUM. 50 HP LAPIC. 6""",UND,30056250.0
004877,"""BOM.SUM. 60 HP LAPIC. 6""",UND,37567250.0
000999,BOM.SUM. 1 HP,UND,2593766.0
005565,ARR.230V 40-50AMP,UND,1087500.0
005566,MONITOR DE VOLTAJE,UND,375000.0
005567,CONTACTOR ABIERTO 60A/AC3,UND,914200.0
005568,HIMEL,UND,196270.0
005569,RELE BIMETALICO TERMICO,UND,423900.0
005570,PULSADOR LUMINOSO VERDE,UND,85050.0
005774,CONTROL DE NIVEL T. GWARRI,UND,252880.0
004930,T/C/D 3600RPM 1.0HP 32 A,UND,1364181.0
004910,REG.HIE.D=1/2E=1/2 1.5x40M,UND,118400.0
004912,REG.HIE.D=1/2E=1/2 .6x.4MT,UND,47265.0
004911,REG.HIE.D=1/2E=1/2 1x.30MT,UND,56718.0
004914,REG.HIE.D=1/2E=1/2 1x.60MT,UND,179060.0
004913,REG.LAM.A.INO.C=9 1 x.60M,UND,283590.0
004916,REG.LAM.A.INO.C=9 1 x.30M,UND,94530.0
004915,REG.LAM.A.INO.C=9 1.5x.40M,UND,330855.0
005142,"""HIDRANTE E.B LONDRES D=4",UND,2351490.0
005141,"""HIDRANTE E.B LONDRES D=6",UND,2899450.0
005140,"""HIDRANTE E.L MILAN JR D=3",UND,1503800.0
005143,"""HIDRANTE E.B CHICAGO D=3",UND,1648000.0
005159,"""HIDRANTE E.B ROMAD=4",UND,3394500.0
005158,"""HIDRANTE E.B ROMAD=6",UND,4098512.0
005157,"""HIDRANTE ROS S.FRANCI D=3",UND,1270200.0
005156,"""HIDRANTE E.L LONDRES D=4",UND,3369248.0
001390,"""HIDRANTE E.L.ROMAD=4",UND,3260180.0
001389,"""HIDRANTE E.L ROMAD=6",UND,3912216.0
005155,"""HIDRANTE E.L ROMA JR D=4",UND,3572800.0
005154,"""HIDRANTE E.L LONDRES D=6",UND,3912216.0
000524,"""HIDRANTE ROS PAREDD=4",UND,870000.0
004917,ARR.3600 C/S 8.5-12A 3.6HP,UND,257589.0
004918,ARR.3600 C/S 12-17AM 5 HP,UND,302039.0
004919,ARR.3600RC/S 16-23A 7.5HP,UND,325411.0
004920,ARR.3600 C/S 23-32AM 12 HP,UND,395950.0
004921,ARR.3600 C/S 4- 6AM 1.8HP,UND,249499.0
004923,ARR/E/T 230V 12-17AMP 9HP,UND,1182844.0
004924,ARR/E/T 230V 23-32AMP 18HP,UND,1182844.0
004925,ARR/E/T 230V 32-42AMP 24HP,UND,1888056.0
004926,ARR/E/T 230V 40-52AMP 34HP,UND,2161421.0
004927,ARR/E/T 230V 58-75AMP 50HP,UND,2467364.0
005012,"""BOLA DE COBRE D=3""""""",UND,26025.0
005013,"""BOLA DE COBRE D=1""""-2""""""",UND,78989.0
004928,C/N HG110-220V13*6 90TB-TA,UND,91259.0
004931,T/C/D 3600RPM 6.6HP 17.5A,UND,1258217.0
004932,T/C/D 3600RPM 7.5HP 21.8A,UND,1270316.0
004933,T/C/D 3600RPM 9 HP 24 A,UND,1522211.0
004934,T/C/T 3600RPM 3.6HP 10.5A,UND,1455723.0
004935,T/C/T 3600RPM 5 HP 16 A,UND,1640535.0
004936,T/C/T 3600RPM 6.6HP 17.5A,UND,1733670.0
004937,T/C/T 3600RPM 12 HP 32 A,UND,2518729.0
004938,T/C/T 3600RPM 7.5HP 21.8A,UND,1750668.0
004939,T/C/T 3600RPM 9 HP 24 A,UND,1956628.0
004940,T/C/D 3600RPM 5 HP 16 A,UND,1392569.0
004970,"""VAL COMP/ELAST 2"""" EB PV",UND,313635.0
004971,"""VAL COMP/ELAST 4"""" EL PV",UND,515000.0
004974,"""VAL COMP/ELAS/JR 12""""EL P",UND,5360128.0
004941,"""VAL CHEQ/CORT/BRONC D=2""""",UND,238500.0
004942,"""VAL CHEQ/CORT/BRONC D=3""""",UND,98325.0
004943,"""VAL CHEQ/CORT/BR D=1.1/2""",UND,61712.0
004944,"""VAL CHEQ/CORT/HIERR D=3""""",UND,472120.0
004945,"""VAL CHEQ/CORT/HIERR D=4""""",UND,716880.0
004946,"""VAL CHEQ/CORT/HIERR D=6""""",UND,1475520.0
004947,"""VAL CHEQ/GLOB/BRON 1.1/2""",UND,107900.0
004948,"""VAL CHEQ/GLOB/BRON 1.1/4""",UND,69900.0
004949,"""VAL CHEQ/GLOB/BRONC D=1""""",UND,56900.0
004950,"""VAL CHEQ/GLOB/BRONC D=2""""",UND,169900.0
004951,"""VAL CHEQ/GLOB/HIERR D=4""""",UND,381059.0
004952,"""VAL CHEQ/GLOB/HIERR D=10""",UND,2009374.0
004953,"""VAL CHEQ/GLOB/HIERR D=3""""",UND,3286217.0
001640,"PERNO ,3/4 x 6,1/2",UND,1500.0
001648,"""TUERCA AC ,3/4""""""",UND,420.0
004954,"""VAL CHEQ/GLOB/HIERR D=6""""",UND,1055640.0
004955,"""VAL CHEQ/GLOB/HIERR D=8""""",UND,1424371.0
004969,"""VAL COMP/ELAST 12"""" EB PV",UND,3440800.0
004976,"""VAL COMP/ELAST/JR 6""""EL P",UND,967280.0
005011,VALVCOMPUE/ELAST/JR 8 EL,UND,1288760.0
004967,"""VAL COMP/ELAST 3"""" EB PV",UND,408320.0
004968,"""VAL COMP/ELAST 8"""" EB PV",UND,1439800.0
004973,"""VAL COMP/ELAST 6"""" EB PV",UND,986000.0
004975,"""VAL COMP/ELAST/JR 3""""EL P",UND,420000.0
004977,"""VAL COMP/ELAST/JR PVC 2""""",UND,265000.0
004978,VAL D/CO/S/BR ASTMA126 6EB,UND,1162567.0
004979,VAL RETENC ASTM A-126 2EB,UND,363080.0
004980,VAL RETENC ASTM A-126 3EB,UND,429200.0
004981,VA/D/C/S/B ASTM A-126 10EB,UND,5140192.0
004982,VAL DOB/COM ASTM A-126 4EB,UND,1293400.0
004983,VAL DOB/COM ASTM A-126 3EB,UND,813160.0
004984,VAL D/C/S/B ASTM A-126 8EB,UND,3122720.0
004988,"""VAL FLOT/HIERR HIDRO D=3""",UND,859380.0
004989,"""VAL FLOT/HIERR HIDRO D=4""",UND,1335346.0
004990,"""VAL FLOT/HIERR HIDRO D=6""",UND,3095438.0
004991,"""VAL PIE/CANAS/BRO D=3""""""",UND,164720.0
004992,"""VAL PIE/CANAST/BRONC D=4""",UND,354148.0
004996,"""VAL PIE/CANAST/BRONC D=6""",UND,980200.0
004997,"""VAL PIE/HIERR/BRIDA D=3""""",UND,274837.0
004998,"""VAL PIE/HIERR/BRIDA D=6""""",UND,476760.0
004999,"""VAL PIE/HIERR/BRIDA D=8""""",UND,562600.0
005000,"""VAL PIE/TOTAL/BRONCE D=2""",UND,128500.0
005001,"""VAL REGIS/GLOB/BR D=1.1/2",UND,52200.0
000093,"""VALV/REG/GLOB/BR.D=1.1/4""",UND,46400.0
5002,"""VAL REGIST/GLOB/BRO D=1""""",UND,44254.0
005003,"""VAL REGIST/GLOB/BRON D=2""",UND,118784.0
005004,"""VALVRET ASTM A-126 10"""" E",UND,4078513.0
005005,VAL RETENC ASTM A-126 4EB,UND,597400.0
