codigo,descripcion,unidad,total
02-06-05,"VALVULA CHAPALETA Q=4.10L/SEG S=1.5M 12""",UND,2213161.0
02-07-04,"TUB PVC NOVAFORT 4""",ML,24044.0
02-07-05,"TUB PVC NOVAFORT 6""",ML,55419.0
02-07-06,"TUB PVC NOVAFORT 8""",ML,67419.0
02-07-07,"TUB PVC NOVAFORT 10""",ML,73215.0
02-07-08,"TUB PVC NOVAFORT 12""",ML,142682.0
02-07-09,"TUB PVC NOVAFORT 16""",ML,180856.0
02-07-10,"TUB PVC NOVAFORT 18""",ML,287589.0
02-07-11,"TUB PVC NOVAFORT 20""",ML,349704.0
02-07-12,"TUB PVC NOVALOC ASTM 24"" SANIT""",ML,433133.0
02-07-13,"TUB PVC NOVALOC ASTM 27"" PVC""",ML,506538.0
02-07-14,"TUB PVC NOVALOC ASTM 30"" SANIT""",ML,627907.0
02-07-15,"TUB PVC NOVALOC SAN ASTM 33""",ML,709589.0
02-07-16,"TUB PVC ALIGERADA RIB LOC 6""",ML,58427.0
02-07-17,"TUB PVC ALIGERADA RIB LOC 8""",ML,73801.0
02-07-18,"TUB PVC ALIGERADA RIB LOC 10""",ML,98757.0
02-07-19,"TUB PVC ALIGERADA RIB LOC 12""",ML,139649.0
02-07-20,"TUB PVC ALIGERADA RIB LOC 14""",ML,161378.0
03-01-01,MOTOR ELEC5HP 3600 RPM BOMBA,UND,1034649.0
03-01-02,MOTOR ELEC 15HP 3600 RPM BOMBA,UND,2359776.0
03-01-03,MOTOR ELEC 20HP 3600 RPM BOMBA,UND,2693014.0
03-01-04,MOTOR ELEC 25HP 3600 RPM BOMBA,UND,2884414.0
03-01-05,MOTOR ELEC 35HP 3600 RPM BOMBA,UND,4728964.0
03-01-06,MOTOR ELEC 50HP 3600 RPM BOMBA,UND,6770060.0
03-01-07,MOTOR ELEC 60HP 3600 RPM BOMBA,UND,7835605.0
03-01-08,MOTOR ELEC 100HP 3600 RPM BOMBA,UND,11167041.0
03-01-09,MOTOR ELEC 150HP 3600 RPM BOMBA,UND,17441501.0
03-01-10,MOTOR ELEC 30HP 3600 RPM BOMBA,UND,3943064.0
03-02-01,"BOMBA SUMERG3.0 HP LAPICERO 4"" A.INOX",UND,4802037.0
03-02-02,"BOMBA SUMERG 15 HP LAPICERO 6"" A.INOX",UND,11351511.0
03-02-03,"BOMBA SUMERG 20HP LAPICERO 6"" A.INOX",UND,13791161.0
03-02-04,"BOMBA SUMERG 25HP LAPICERO 6"" A.INOX",UND,16426248.0
03-02-05,"BOMBA SUMERG 30HP LAPICERO 6"" A.INOX",UND,23701720.0
03-02-06,"BOMBA SUMERG 40HP LAPICERO 6"" A.INOX",UND,26255148.0
03-02-07,"BOMBA SUMERG 50HP LAPICERO 6"" A.INOX",UND,30578425.0
03-02-08,"BOMBA SUMERG 60HP LAPICERO 6"" A.INOX",UND,38091025.0
03-02-09,"BOMBA SUMERG1.0 HP LAPICERO 4"" BRONCE",UND,2758377.0
03-05-01,ARRANCADOR VOL-C10 230 40-50AMP,UND,1107428.0
03-05-02,MONITOR DE VOLTAJE,UND,393328.0
03-05-03,CONTACTOR ABIERTO 60 AMP AC3 220 VOL,UND,932528.0
03-05-04,HIMEL,UND,214598.0
03-05-05,RELE BIMETALICO TERMICO 32-40 AMP,UND,442228.0
03-05-06,PULSADOR LUMINOSO VERDE,UND,103378.0
03-05-07,SUMIN CONTACTOR ABIERTO 60 AMP AC3 220 V,UND,914200.0
03-05-08,CONTROL DE NIVEL POZO TIPO GWARRICK,UND,279071.0
03-05-09,TABL CONTR DUPLEX 3600RPM 1.0HP-10.0AM,UND,1634091.0
04-01-30,DESVIACION CAUCE ANCHOS ENTRE 0 Y 1 ML,ML,89669.0
04-01-31,DESVIACION TEMPORAL CAUCE ANCHOS 1 A 3 M,ML,140611.0
04-01-62,"REJILLA HIERRO D=1/2"" E=1/2 1.50x.40MTS",UND,145391.0
04-01-63,"REJILLA HIERRO D=1/2"" E=1/2"" 0.6x0.40MTS",UND,73456.0
04-01-64,"REJILLA HIERRO D=1/2, E=1/2, 1.0x0.30MTS",UND,83069.0
04-01-65,"REJILLA HIERRO D=1/2 E=1/2, 1.0x0.60MTS",UND,205411.0
04-01-66,REJILLA LAM.AC.INOX. CAL 9 1.0x0.60MTS,UND,348668.0
04-01-67,REJILLA LAM.AC.INOX. CAL 9 1.0x0.30MTS,UND,159608.0
04-01-68,REJILLA LAM.AC.INOX. CAL.9 1.5x0.40MTS,UND,396733.0
04-03-01,HIDRANTE LONDRES 4 E BRIDA,UND,2597579.0
04-03-02,HIDRANTE LONDRES 6 E BRIDA,UND,3163083.0
04-03-03,HIDRANTE CHICAGO-MILAN 3 E J.R.,UND,1749889.0
04-03-04,HIDRANTE CHICAGO-MILAN 3 E BRIDA,UND,1894089.0
04-03-05,HIDRANTE ROMA4 E BRIDA,UND,3640589.0
04-03-06,HIDRANTE ROMA6 E BRIDA,UND,4362145.0
04-03-07,HIDRANTE SAN FRANCISCO 3 ROSCADO,UND,1516289.0
04-03-08,HIDRANTE LONDRES4 E LISO PVC,UND,3615337.0
04-03-09,HIDRANTE ROMA4 E LISO PVC,UND,3506269.0
04-03-10,HIDRANTE ROMA6 E LISO PVC,UND,4175849.0
04-03-11,HIDRANTE ROMA4 E J.R. PVC,UND,3818889.0
04-03-12,HIDRANTE CHICAGO-MILAN 3 E LISO PVC,UND,1749889.0
04-03-13,HIDRANTE LONDRES6 E LISO PVC,UND,4175849.0
04-03-14,HIDRANTE PARED-POSTE4 ROSCADO,UND,880956.0
04-05-01,ARRAN 3600RPM C/SELEC 8.5-12.5AMP 3.6HP,UND,345026.0
04-05-02,ARRAN 3600RPM C/SELEC 12.0-17.0AMP 5.0HP,UND,394308.0
04-05-03,ARRAN 3600RPM C/SELEC 16.0-23.0AMP 7.5HP,UND,418480.0
04-05-04,ARRAN 3600RPM C/SELEC 23.0-32.0AMP12.0HP,UND,518442.0
04-05-05,ARRAN 3600RPM C/SELEC 4.0- 6.0AMP 1.8HP,UND,311545.0
04-05-07,ARRAN ESTRELLA TRIA 230V 12-17AMP 9.0HP,UND,1337959.0
04-05-08,ARRAN ESTRELLA TRIA 230V 23-32AMP 18.0HP,UND,1350655.0
04-05-09,ARRAN ESTRELLA TRIA 230V 32-42AMP 24.0HP,UND,2055867.0
04-05-10,ARRAN ESTRELLA TRIA 230V 40-52AMP 34.0HP,UND,2345959.0
04-05-11,ARRAN ESTRELLA TRIA 230V 58-75AMP 50.0HP,UND,2651902.0
04-05-12,"BOLA DE COBRE D=3""",UND,52696.0
04-05-13,"BOLA DE COBRE D=1""-2""",UND,92005.0
