codigo_recurso,descripcion_recurso,unidad_recurso,cantidad_recurso,desper,vr_unitario,vr_parcial,codigo_analisis
MQ0236,MINICARGADOR BOBCAT,HRS,0.12,0.0,75000.0,9000.0,01-01-18
MQ0301,HERRAMIENTA MENOR,GLB,1.5,0.0,1600.0,2400.0,01-01-18
MQ0221,VOLQUETA(ACARREO),M3K,1.3,0.0,1320.0,1716.0,01-02-01
MQ0210,RETROEXCAVADORA CARGADORA,HRS,0.002,0.0,101150.0,202.0,01-02-02
MQ0301,HERRAMIENTA MENOR,GLB,0.04,0.0,1600.0,64.0,01-02-02
MOAG01,MANO OBRA ALBANILERIA1 AYUDANTE,HC,0.04,0.0,8949.0,358.0,01-02-02
MQ0205,RETROEXCAVADORA JD-510,HRS,0.03,0.0,88000.0,2640.0,01-02-02
MQ0105,COMPRESOR DE DOS MARTILLOS,HRS,0.6,0.0,70000.0,42000.0,01-02-04
MQ0205,RETROEXCAVADORA JD-510,HRS,0.035,0.0,88000.0,3080.0,01-02-04
MQ0301,HERRAMIENTA MENOR,GLB,0.8,0.0,1600.0,1280.0,01-02-04
MQ0205,RETROEXCAVADORA JD-510,HRS,0.03,0.0,88000.0,2640.0,01-02-05
MOAG03,MANO OBRA ALBANILERIA3 AYUDANTE,HC,0.046,0.0,26846.0,1235.0,01-02-06
MQ0204,MOTONIVELADORA CAT-12-F,HRS,0.047,0.0,139500.0,6557.0,01-02-06
MQ0206,VIBROCOMPACTADOR CA-15,HRS,0.047,0.0,107100.0,5034.0,01-02-06
MQ0222,CARROTANQUE AGUA,DIA,0.002,0.0,277000.0,554.0,01-02-06
MQ0301,HERRAMIENTA MENOR,GLB,0.03,0.0,1600.0,48.0,01-02-06
002414,ROCA MUERTA,M3,1.3,0.0,8800.0,11440.0,01-02-07
MOAG03,MANO OBRA ALBANILERIA3 AYUDANTE,HC,0.046,0.0,26846.0,1235.0,01-02-07
MQ0204,MOTONIVELADORA CAT-12-F,HRS,0.047,0.0,139500.0,6557.0,01-02-07
MQ0206,VIBROCOMPACTADOR CA-15,HRS,0.07,0.0,107100.0,7497.0,01-02-07
MQ0222,CARROTANQUE AGUA,DIA,0.002,0.0,277000.0,554.0,01-02-07
MQ0301,HERRAMIENTA MENOR,GLB,0.06,0.0,1600.0,96.0,01-02-07
MOAG01,MANO OBRA ALBANILERIA1 AYUDANTE,HC,0.035,0.0,8949.0,313.0,01-02-09
MQ0210,RETROEXCAVADORA CARGADORA,HRS,0.035,0.0,101150.0,3540.0,01-02-09
000214,AGUA,LTS,0.35,0.0,30.0,11.0,01-02-15
MOAG01,MANO OBRA ALBANILERIA1 AYUDANTE,HC,0.02,0.0,8949.0,179.0,01-02-15
MQ0204,MOTONIVELADORA CAT-12-F,HRS,0.004,0.0,139500.0,558.0,01-02-15
MOAG02,MANO OBRA ALBANILERIA2 AYUDANTE,HC,1.7,0.0,17897.0,30425.0,02-01-01
MOIS01,MANO OBRA HIDROSANIT.1 AYUDANTE-1 OFI,HC,17.0,0.0,25391.0,431647.0,02-01-01
000518,BOM.SUM. 2 HP,UND,1.0,0.0,4996556.0,4996556.0,02-01-02
MOAG02,MANO OBRA ALBANILERIA2 AYUDANTE,HC,1.7,0.0,17897.0,30425.0,02-01-02
MOIS01,MANO OBRA HIDROSANIT.1 AYUDANTE-1 OFI,HC,17.0,0.0,25391.0,431647.0,02-01-02
000519,"""BOM.230VTRIF,ARRDIREC,3""""",UND,1.0,0.0,2365765.0,2365765.0,02-01-03
MOAG02,MANO OBRA ALBANILERIA2 AYUDANTE,HC,1.7,0.0,17897.0,30425.0,02-01-03
MOIS01,MANO OBRA HIDROSANIT.1 AYUDANTE-1 OFI,HC,17.0,0.0,25391.0,431647.0,02-01-03
000239,BALASTRO DE RIO,M3,0.05,5.0,19500.0,1024.0,02-03-04
002959,"""TUBO CONCRETO CII6""""",ML,1.0,2.0,15490.0,15800.0,02-03-04
MOAG12,MANO OBRA ALBANILERIA2 AYUDANTE-1 OFI,HC,0.2,0.0,32845.0,6569.0,02-03-04
MOTO01,MANO OBRA TOPOGRAFIA1 CADENERO-1 TOP,HC,0.01,0.0,66168.0,662.0,02-03-04
MQ0301,HERRAMIENTA MENOR,GLB,0.3,0.0,1600.0,480.0,02-03-04
001350,GRAVA TRITURADA.3/4,M3,0.05,5.0,52571.0,2760.0,02-03-05
002946,"""TUBO CONCRETO CII 10""""",ML,1.0,2.0,25199.0,25703.0,02-03-05
MOAG12,MANO OBRA ALBANILERIA2 AYUDANTE-1 OFI,HC,0.3,0.0,32845.0,9854.0,02-03-05
MOTO01,MANO OBRA TOPOGRAFIA1 CADENERO-1 TOP,HC,0.01,0.0,66168.0,662.0,02-03-05
MQ0301,HERRAMIENTA MENOR,GLB,0.3,0.0,1600.0,480.0,02-03-05
001350,GRAVA TRITURADA.3/4,M3,0.05,5.0,52571.0,2760.0,02-03-06
002947,"""TUBO CONCRETO CII 12""""",ML,1.0,2.0,47908.0,48866.0,02-03-06
MOAG12,MANO OBRA ALBANILERIA2 AYUDANTE-1 OFI,HC,0.4,0.0,32845.0,13138.0,02-03-06
MOTO01,MANO OBRA TOPOGRAFIA1 CADENERO-1 TOP,HC,0.01,0.0,66168.0,662.0,02-03-06
MQ0301,HERRAMIENTA MENOR,GLB,0.3,0.0,1600.0,480.0,02-03-06
001350,GRAVA TRITURADA.3/4,M3,0.05,5.0,52571.0,2760.0,02-03-07
002949,"""TUBO CONCRETO CII 15""""",ML,1.0,0.0,71618.0,71618.0,02-03-07
MOAG12,MANO OBRA ALBANILERIA2 AYUDANTE-1 OFI,HC,0.5,0.0,32845.0,16423.0,02-03-07
MOTO01,MANO OBRA TOPOGRAFIA1 CADENERO-1 TOP,HC,0.01,0.0,66168.0,662.0,02-03-07
MQ0301,HERRAMIENTA MENOR,GLB,0.3,0.0,1600.0,480.0,02-03-07
001350,GRAVA TRITURADA.3/4,M3,0.08,5.0,52571.0,4416.0,02-03-08
002950,"""TUBO CONCRETO CII 18""""",ML,1.0,2.0,73472.0,74941.0,02-03-08
MOAG12,MANO OBRA ALBANILERIA 2 AYUDANTE-1 OFI,HC,0.7,0.0,32845.0,22992.0,02-03-08
MOTO01,MANO OBRA TOPOGRAFIA 1 CADENERO-1 TOP,HC,0.01,0.0,66168.0,662.0,02-03-08
MQ0301,HERRAMIENTA MENOR,GLB,0.3,0.0,1600.0,480.0,02-03-08
001350,GRAVA TRITURADA.3/4,M3,0.08,3.0,52571.0,4332.0,02-03-09
002951,"""TUBO CONCRETO CII 21""""",ML,1.0,2.0,98153.0,100116.0,02-03-09
MOAG12,MANO OBRA ALBANILERIA 2 AYUDANTE-1 OFI,HC,0.8,0.0,32845.0,26276.0,02-03-09
MOTO02,MANO OBRA TOPOGRAFIA 2 CADENERO-1 TOP,HC,0.14,0.0,80691.0,11297.0,02-03-09
MQ0205,RETROEXCAVADORA JD-510,HRS,0.1,0.0,88000.0,8800.0,02-03-09
MQ0301,HERRAMIENTA MENOR,GLB,0.3,0.0,1600.0,480.0,02-03-09
001350,GRAVA TRITURADA.3/4,M3,0.15,0.0,52571.0,7886.0,02-03-10
002952,"""TUBO CONCRETO CII 24""""",ML,1.0,2.0,119977.0,122377.0,02-03-10
MOAG12,MANO OBRA ALBANILERIA 2 AYUDANTE-1 OFI,HC,0.8,0.0,32845.0,26276.0,02-03-10
MOTO02,MANO OBRA TOPOGRAFIA 2 CADENERO-1 TOP,HC,0.14,0.0,80691.0,11297.0,02-03-10
MQ0205,RETROEXCAVADORA JD-510,HRS,0.15,0.0,88000.0,13200.0,02-03-10
MQ0301,HERRAMIENTA MENOR,GLB,0.3,0.0,1600.0,480.0,02-03-10
001350,GRAVA TRITURADA.3/4,M3,0.15,0.0,52571.0,7886.0,02-03-11
002954,"""TUBO CONCRETO CII 27""""",ML,1.15,2.0,210636.0,247076.0,02-03-11
MOAG12,MANO OBRA ALBANILERIA 2 AYUDANTE-1 OFI,HC,0.8,0.0,32845.0,26276.0,02-03-11
MOTO02,MANO OBRA TOPOGRAFIA 2 CADENERO-1 TOP,HC,0.14,0.0,80691.0,11297.0,02-03-11
MQ0205,RETROEXCAVADORA JD-510,HRS,0.2,0.0,88000.0,17600.0,02-03-11
MQ0301,HERRAMIENTA MENOR,GLB,0.3,0.0,1600.0,480.0,02-03-11
001350,GRAVA TRITURADA.3/4,M3,0.15,0.0,52571.0,7886.0,02-03-12
002955,"""TUBO CONCRETO CII 30""""",ML,1.15,2.0,217855.0,255544.0,02-03-12
MOAG12,MANO OBRA ALBANILERIA 2 AYUDANTE-1 OFI,HC,0.8,0.0,32845.0,26276.0,02-03-12
MOTO02,MANO OBRA TOPOGRAFIA 2 CADENERO-1 TOP,HC,0.2,0.0,80691.0,16138.0,02-03-12
MQ0205,RETROEXCAVADORA JD-510,HRS,0.35,0.0,88000.0,30800.0,02-03-12
MQ0301,HERRAMIENTA MENOR,GLB,0.3,0.0,1600.0,480.0,02-03-12
001350,GRAVA TRITURADA.3/4,M3,0.05,5.0,52571.0,2760.0,02-03-13
002960,"""TUBO CONCRETO CII8""""",ML,1.0,2.0,20606.0,21018.0,02-03-13
MOAG12,MANO OBRA ALBANILERIA 2 AYUDANTE-1 OFI,HC,0.25,0.0,32845.0,8211.0,02-03-13
MOTO01,MANO OBRA TOPOGRAFIA 1 CADENERO-1 TOP,HC,0.01,0.0,66168.0,662.0,02-03-13
001350,GRAVA TRITURADA.3/4,M3,0.15,0.0,52571.0,7886.0,02-03-14
002956,"""TUBO CONCRETO CII 33""""",ML,1.0,2.0,286983.0,292723.0,02-03-14
MOAG12,MANO OBRA ALBANILERIA 2 AYUDANTE-1 OFI,HC,1.0,0.0,32845.0,32845.0,02-03-14
MQ0205,RETROEXCAVADORA JD-510,HRS,0.4,0.0,88000.0,35200.0,02-03-14
MQ0301,HERRAMIENTA MENOR,GLB,0.3,0.0,1600.0,480.0,02-03-14
001350,GRAVA TRITURADA.3/4,M3,0.25,0.0,52571.0,13143.0,02-03-15
002957,"""TUBO CONCRETO CII 36""""",ML,1.0,2.0,358840.0,366017.0,02-03-15
MOAG12,MANO OBRA ALBANILERIA 2 AYUDANTE-1 OFI,HC,1.0,0.0,32845.0,32845.0,02-03-15
MQ0205,RETROEXCAVADORA JD-510,HRS,0.4,0.0,88000.0,35200.0,02-03-15
MQ0301,HERRAMIENTA MENOR,GLB,0.3,0.0,1600.0,480.0,02-03-15
001350,GRAVA TRITURADA.3/4,M3,0.25,0.0,52571.0,13143.0,02-03-16
005465,TUBO CONCRETO CII 1.0M HR,ML,1.0,2.0,319129.0,325512.0,02-03-16
MOAG12,MANO OBRA ALBANILERIA 2 AYUDANTE-1 OFI,HC,1.1,0.0,32845.0,36130.0,02-03-16
MOTO02,MANO OBRA TOPOGRAFIA 2 CADENERO-1 TOP,HC,0.4,0.0,80691.0,32276.0,02-03-16
MQ0205,RETROEXCAVADORA JD-510,HRS,0.5,0.0,88000.0,44000.0,02-03-16
MQ0301,HERRAMIENTA MENOR,GLB,0.3,0.0,1600.0,480.0,02-03-16
001350,GRAVA TRITURADA.3/4,M3,0.25,0.0,52571.0,13143.0,02-03-17
005466,TUBO CONCRETO CII 1.1M HR,ML,1.0,2.0,373099.0,380561.0,02-03-17
MOAG12,MANO OBRA ALBANILERIA 2 AYUDANTE-1 OFI,HC,1.1,0.0,32845.0,36130.0,02-03-17
MOTO02,MANO OBRA TOPOGRAFIA 2 CADENERO-1 TOP,HC,0.5,0.0,80691.0,40346.0,02-03-17
MQ0205,RETROEXCAVADORA JD-510,HRS,0.55,0.0,88000.0,48400.0,02-03-17
MQ0301,HERRAMIENTA MENOR,GLB,0.3,0.0,1600.0,480.0,02-03-17
002556,TABLA 1x10x300 OTOBO,UND,1.0,0.0,13007.0,13007.0,02-04-03
